"";"data_coleta_dados";"site_coleta";"comite";"n_ugrhi";"nome_reuniao";"data_reuniao";"data_postagem";"numero_link";"url_link"
"1400";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtg/atas";"Turvo / Grande";15;"ATA DA 3ª REUNIÃO ORDINÁRIA DO CBH-TG";1996-08-02;2004-07-20;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records/582/ata-03-ro-02-08-96.doc"
"1401";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtg/atas";"Turvo / Grande";15;"ATA DA 2ª REUNIÃO ORDINÁRIA DO CBH-TG";1996-06-10;2004-07-20;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records/581/ata-02-ro-10-06-96.doc"
"1402";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtg/atas";"Turvo / Grande";15;"ATA DA 1ª REUNIÃO ORDINÁRIA DO CBH-TG";1996-03-25;2004-07-20;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records/580/ata-01-ro-25-03-96.doc"
"1403";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtg/atas";"Turvo / Grande";15;"ATA DA REUNIÃO DE INSTALAÇÃO DO CBH-TG";1995-12-15;2004-07-20;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records/579/ata-01-ro-15-12-95-instalacao-do-cbh-tg.doc"
"1404";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtb/atas";"Tietê-Batalha";16;"Ata da 1ª Reunião Ordinária do ano de 2020 do CBH/TB (videoconferência)";2020-07-17;2020-07-25;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-TB/19060/ata-1-reuniao-ordinaria-de-hierarquizacao-17-07-2020-videoconferencia.pdf"
"1405";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtb/atas";"Tietê-Batalha";16;"Ata da 3ª Reunião Ordinaria de 09.12.2019";2019-12-09;2019-12-18;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-TB/18641/ata-3-reuniao-ordinaria-de-09-12-2019.pdf"
"1406";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtb/atas";"Tietê-Batalha";16;"Ata da 1ª Reunião Extraordinária de 2019 do CBH-TB";2019-09-16;2018-09-24;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-TB/17535/ata-reuniao-extraordinaria-de-16-09-2019.pdf"
"1407";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtb/atas";"Tietê-Batalha";16;"Ata da 2ª Reunião Ordinária de 2019 do CBH-TB";2019-07-01;2019-07-13;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-TB/17339/ata-2-reuniao-ordinaria01-07-2019-nh.pdf"
"1408";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtb/atas";"Tietê-Batalha";16;"Ata da 1ª Reunião Ordinária de 2019 do CBH-TB";2019-04-01;2019-05-07;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-TB/16260/ata-1-reuniao-ordinaria-de-posse-01-04-2019-guaicara.pdf"
"1409";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtb/atas";"Tietê-Batalha";16;"Ata da 1ª Reunião Extraordinária de 2019 do CBH-TB";2019-02-04;2019-05-08;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-TB/16265/ata-1-reuniao-extraordinaria-de-eleicao-04-02-2019.pdf"
"1410";2020-10-21;"http://www.sigrh.sp.gov.br/cbhtb/atas";"Tietê-Batalha";16;"Ata da 3ª Reunião Ordinária de 2018 do CBH-TB";2018-12-10;2018-12-15;"ata_1";"http://www.sigrh.sp.gov.br/public/uploads/records//CBH-TB/13999/ata-3-reuniao-ordinaria-de-2018.htm"
